"region","hemi","community","community_name","mean_beta","mean_tvalue"
"1","left",2,"SM",0.0035801399007752,1.72955644794336
"1","right",2,"SM",-0.00251246517290385,-1.21128095979435
"10d","left",10,"DMN",0.00372472147262782,1.79481325294651
"10d","right",10,"DMN",-0.000268518436284279,-0.129483300193825
"10pp","right",10,"DMN",0.000935363569423545,0.451045802240045
"10r","left",10,"DMN",0.0070952371939716,3.42884243082584
"10r","right",10,"DMN",-0.000986375165493319,-0.476226600605513
"10v","left",10,"DMN",0.00332413511605622,1.60526825502612
"10v","right",10,"DMN",0.00681688278034393,3.29195310505798
"11l","left",8,"FPN",0.00373549642767861,1.80117245215163
"11l","right",8,"FPN",0.00358558393189897,1.73310606855491
"13l","left",8,"FPN",0.0043913086441187,2.11674925416481
"13l","right",8,"FPN",0.0039305642484605,1.8933930309062
"2","left",2,"SM",-0.000673451728792014,-0.324223945044988
"2","right",2,"SM",-0.000250320258720587,-0.120657301904311
"23c","left",3,"SAL",0.00207627405141629,1.00127421022097
"23c","right",3,"SAL",0.00141685550473766,0.683067959297185
"23d","left",10,"DMN",0.00199037559611658,0.958185951068153
"23d","right",10,"DMN",-0.00135858101366176,-0.655748999306322
"24dd","left",2,"SM",-2.78074016947978e-05,-0.0133979769720732
"24dd","right",2,"SM",-0.000294554211677851,-0.141817235299529
"24dv","left",2,"SM",-0.00444954940810809,-2.15013978813495
"24dv","right",2,"SM",0.00185047716097128,0.89313214793794
"25","left",10,"DMN",0.00101344434682592,0.488211072988229
"25","right",10,"DMN",0.00214014157364783,1.0327139949377
"31a","left",10,"DMN",-0.00380166164216802,-1.83421839371581
"31a","right",10,"DMN",-0.0017161022057946,-0.828039185162243
"31pd","left",10,"DMN",0.00355933660142261,1.71659645666627
"31pd","right",10,"DMN",-0.000756752339435618,-0.36468163595308
"31pv","left",10,"DMN",-4.83103494516277e-05,-0.0232912176998923
"31pv","right",10,"DMN",0.004143364113022,1.99667208354515
"33pr","left",3,"SAL",7.70195068953429e-05,0.0371262628575684
"33pr","right",3,"SAL",0.000485951401264794,0.234504854324785
"3a","left",2,"SM",0.00330599140820657,1.58307454219182
"3a","right",2,"SM",0.00301732105033304,1.44544722017599
"3b","left",2,"SM",0.00341002012636034,1.646349310839
"3b","right",2,"SM",0.00361268204262059,1.73949427888157
"4","left",2,"SM",0.00465927319311325,2.23025312230377
"4","right",2,"SM",0.00440192600502623,2.12205259869345
"43","left",9,"AUD",0.00447372016129834,2.15724198086038
"43","right",9,"AUD",0.00402912116274183,1.94314542287874
"44","left",8,"FPN",0.00100971705141056,0.486820485526859
"44","right",8,"FPN",0.00266893179230691,1.29004851747285
"45","left",7,"LANG",-0.000714531839124277,-0.344347278373753
"45","right",7,"LANG",0.00391000865717761,1.8863045818549
"46","left",3,"SAL",-0.000777234014272638,-0.374935568309199
"46","right",3,"SAL",0.00260290436836845,1.25785967246785
"47l","left",7,"LANG",-0.00056396823054675,-0.272069121340465
"47l","right",10,"DMN",0.00272895856117924,1.31830069175921
"47m","left",10,"DMN",0.00206747615224204,0.99790698568045
"47m","right",10,"DMN",-6.69348451051894e-05,-0.0322593747767035
"47s","left",10,"DMN",-0.00301813858520357,-1.45556517761066
"47s","right",10,"DMN",-0.000987585651927471,-0.476095897086269
"52","left",9,"AUD",0.00227484996723365,1.09581919556812
"52","right",9,"AUD",0.00346081439174028,1.67025329070184
"55b","left",7,"LANG",-0.000867205924659824,-0.418336858616215
"55b","right",7,"LANG",0.00254074079882057,1.22241683560279
"5L","left",2,"SM",0.00135228416023175,0.65193829790862
"5L","right",2,"SM",-0.00242492335925988,-1.17013911421604
"5m","left",2,"SM",0.00257247756027773,1.24023124564626
"5m","right",2,"SM",0.00260314216969016,1.25424552883406
"5mv","left",3,"SAL",0.00179174454486334,0.864246700796416
"5mv","right",3,"SAL",-0.00250982601770838,-1.20936402890454
"6a","left",6,"DAN",-0.00208657706098903,-1.00476546604608
"6a","right",6,"DAN",0.00323562423068875,1.56145513625162
"6d","left",2,"SM",0.00467063246699112,2.25500968741246
"6d","right",2,"SM",0.00331208360644962,1.59857094053778
"6ma","left",3,"SAL",0.00472701239484201,2.27894848210477
"6ma","right",3,"SAL",0.000163136803816042,0.0785345114725464
"6mp","left",2,"SM",0.00109394130632753,0.527316744843101
"6mp","right",2,"SM",0.00377203862516849,1.82138252486828
"6r","left",6,"DAN",0.00298312058365796,1.44035432208736
"6r","right",3,"SAL",0.000840805890652715,0.40515976606194
"6v","left",2,"SM",-0.0015659608759039,-0.75557971767324
"6v","right",2,"SM",0.00300534544567962,1.44252081823738
"7AL","left",6,"DAN",-0.000391692745013349,-0.189019192496216
"7AL","right",6,"DAN",-0.00026034208108512,-0.125540083544398
"7Am","left",11,"MTL",-0.00173303788931553,-0.834118807558755
"7Am","right",11,"MTL",0.000337926925350442,0.16279393958511
"7PC","left",6,"DAN",0.00132659923412303,0.639753068546528
"7PC","right",6,"DAN",0.00468662581179676,2.2629274271468
"7PL","left",11,"MTL",NA,NA
"7PL","right",11,"MTL",NA,NA
"7Pm","left",11,"MTL",0.00447744291681726,2.15800267468651
"7Pm","right",11,"MTL",0.000494211748437704,0.238382231594247
"7m","left",10,"DMN",0.0036549341186001,1.7648247724248
"7m","right",10,"DMN",0.000616178158811953,0.296353501351963
"8Ad","left",10,"DMN",0.00242989183665302,1.17312626238471
"8Ad","right",10,"DMN",-0.00161663246835265,-0.780600126382147
"8Av","left",10,"DMN",0.00218597906423861,1.05352342047155
"8Av","right",8,"FPN",0.00612436999644554,2.95628691787912
"8BL","left",10,"DMN",0.000240876575093504,0.116194340519429
"8BL","right",10,"DMN",-0.000459347879556058,-0.221572806062437
"8BM","left",8,"FPN",0.00128647301644881,0.619770019618719
"8BM","right",8,"FPN",-0.00126557300649766,-0.610731793618237
"8C","left",8,"FPN",0.00174792923110959,0.844340952313089
"8C","right",8,"FPN",0.00116680132966615,0.563262399798823
"9-46d","left",3,"SAL",-0.00084547457931154,-0.407298450808374
"9-46d","right",3,"SAL",0.000765760383151669,0.369692016844957
"9a","left",10,"DMN",7.07656362535872e-05,0.0341199284165893
"9a","right",10,"DMN",0.000946549785112956,0.456634902790103
"9m","left",10,"DMN",0.00462781005070475,2.22875011419607
"9m","right",10,"DMN",0.00326999604539672,1.57916520742887
"9p","left",10,"DMN",0.0040114186813307,1.93645998531376
"9p","right",10,"DMN",-0.000720013697053143,-0.346562551420884
"A1","left",9,"AUD",-0.000982245496024931,-0.474652752079465
"A1","right",9,"AUD",5.89105231705624e-05,0.028386928717156
"A4","left",9,"AUD",-0.000400459833254276,-0.192844008180749
"A4","right",9,"AUD",0.00193456645477543,0.93237431657719
"A5","left",7,"LANG",-0.00338548759856434,-1.6305429169588
"A5","right",7,"LANG",-0.000752529418014018,-0.362829345627354
"AAIC","left",3,"SAL",0.00161519830864141,0.77933642683222
"AAIC","right",3,"SAL",0.00125439274346454,0.604621312892547
"AIP","left",6,"DAN",0.00288317382183507,1.39222830269952
"AIP","right",6,"DAN",-0.00133624371976989,-0.644242671895083
"AVI","left",3,"SAL",-0.00113341058096134,-0.547226818670656
"AVI","right",3,"SAL",0.00277798970133189,1.33875008614515
"DVT","left",11,"MTL",-0.00267126873926193,-1.28805215276517
"DVT","right",1,"VIS",-0.00215920668314872,-1.04338516058874
"EC","left",10,"DMN",0.00229009994180129,1.1032340498869
"EC","right",10,"DMN",0.0018617217289292,0.898594006926988
"FEF","left",6,"DAN",0.00416183491619401,2.00473822042571
"FEF","right",6,"DAN",-0.000285006853406086,-0.137439541391472
"FFC","left",1,"VIS",0.00190377314320479,0.919467928348427
"FFC","right",1,"VIS",-0.00379651228872715,-1.8320452409196
"FOP1","left",9,"AUD",0.00230697634388315,1.11385823184205
"FOP1","right",9,"AUD",0.00136870099833214,0.659926840421834
"FOP2","left",2,"SM",3.70943393907177e-05,0.0178682525241798
"FOP2","right",2,"SM",-0.00178612059774738,-0.861604597948999
"FOP3","left",9,"AUD",0.00176541826005128,0.850577373347378
"FOP3","right",9,"AUD",0.00010797355091105,0.052101843311423
"FOP4","left",3,"SAL",0.00316255744528786,1.51926909684732
"FOP4","right",3,"SAL",0.000379835931492737,0.183209936446368
"FOP5","left",3,"SAL",-0.000887918528632634,-0.428871430703925
"FOP5","right",3,"SAL",0.00543180458897836,2.62350476547035
"FST","left",1,"VIS",-0.00244949669105133,-1.17588190027319
"FST","right",1,"VIS",-0.000520885580321076,-0.251596714747438
"H","left",NA,NA,-0.000114918104454198,-0.0554218666786421
"H","right",NA,NA,0.000168959589894129,0.0814888967459974
"IFJa","left",8,"FPN",-0.00213261608434674,-1.0291614055698
"IFJa","right",8,"FPN",-0.00161257582643246,-0.777519348169373
"IFJp","left",8,"FPN",-0.00334143051637858,-1.6136885459472
"IFJp","right",8,"FPN",0.00175227634536266,0.845068795505138
"IFSa","left",8,"FPN",0.00158789911211383,0.765765800569738
"IFSa","right",8,"FPN",-0.000810002913380701,-0.390475420752034
"IFSp","left",8,"FPN",-0.000142432904701028,-0.0687233095946187
"IFSp","right",8,"FPN",-0.00568905471395911,-2.74717773139489
"IP0","left",1,"VIS",-0.00348615204834794,-1.68177938693839
"IP0","right",11,"MTL",5.73498006092336e-05,0.0276721943945607
"IP1","left",8,"FPN",-0.000112597828521902,-0.0542312031910714
"IP1","right",8,"FPN",-0.000197091378664725,-0.0948585609986421
"IP2","left",8,"FPN",0.000697191223648825,0.336556538882651
"IP2","right",8,"FPN",0.000538682716297245,0.259737732095862
"IPS1","left",1,"VIS",-0.00191836987389945,-0.925269626504969
"IPS1","right",1,"VIS",-0.00304627444993154,-1.46810683999645
"Ig","left",2,"SM",0.000606111988473431,0.292131855851151
"Ig","right",2,"SM",-0.00179686936877074,-0.866691755816559
"LBelt","left",9,"AUD",0.00325973503144454,1.56934060835529
"LBelt","right",9,"AUD",-0.00167689501293288,-0.807580638411248
"LIPd","left",8,"FPN",0.00132165027285409,0.637961277833141
"LIPd","right",8,"FPN",-0.00303234700840988,-1.46339948543455
"LIPv","left",1,"VIS",-0.00506313341342147,-2.44636445211482
"LIPv","right",1,"VIS",-0.0024784729560074,-1.19549279690817
"LO1","left",1,"VIS",0.00244928418250266,1.18147918003314
"LO1","right",1,"VIS",-0.00128443971113754,-0.61962276660974
"LO2","left",1,"VIS",0.000787956977767254,0.379974108296163
"LO2","right",1,"VIS",-0.00112537364853151,-0.543125022429527
"LO3","left",1,"VIS",-0.000760312829362005,-0.366896246400826
"LO3","right",1,"VIS",-0.000597872034873786,-0.288477205232903
"MBelt","left",9,"AUD",0.00125799524487656,0.606338065208458
"MBelt","right",9,"AUD",0.00208162854249485,1.0018806777856
"MI","left",3,"SAL",-0.000250627981087279,-0.120818244790888
"MI","right",3,"SAL",-0.000800338125070331,-0.38622586197952
"MIP","left",1,"VIS",-0.00654260944496798,-3.15605346351138
"MIP","right",1,"VIS",-0.000611274584939269,-0.294889548410822
"MST","left",1,"VIS",-0.00184178415694637,-0.888488864951534
"MST","right",1,"VIS",-0.00701450712235103,-3.39280125638355
"MT","left",1,"VIS",0.00347382512629226,1.6739674802237
"MT","right",1,"VIS",0.000268238910916033,0.129476699071996
"OFC","left",10,"DMN",0.000191658340734679,0.092499693434701
"OFC","right",10,"DMN",0.00168599716366081,0.813358237538884
"OP1","left",2,"SM",0.000532080057276103,0.256736584886709
"OP1","right",2,"SM",-0.00266281831344955,-1.28249562233656
"OP2-3","left",2,"SM",-0.000609497381142052,-0.294056670328355
"OP2-3","right",2,"SM",-0.0019935831622928,-0.962100165108661
"OP4","left",2,"SM",-0.000817473159567495,-0.394164796997265
"OP4","right",2,"SM",0.0010245915071167,0.493512864785395
"PBelt","left",9,"AUD",-0.0022788848983376,-1.10040474035988
"PBelt","right",9,"AUD",0.00225195715672145,1.08615868104512
"PCV","left",11,"MTL",0.00397567888092733,1.91617695873046
"PCV","right",11,"MTL",4.88663763487018e-05,0.0235311556069883
"PEF","left",6,"DAN",-0.000892095714857247,-0.430646974525327
"PEF","right",8,"FPN",0.000319642958908736,0.154093618479775
"PF","left",3,"SAL",0.00154610916085251,0.744753411948491
"PF","right",3,"SAL",-4.20322425554009e-05,-0.0202499334774528
"PFcm","left",9,"AUD",-0.0012500306463647,-0.601389569204408
"PFcm","right",9,"AUD",-0.000500447656623101,-0.241283079500349
"PFm","left",10,"DMN",0.00243124467056013,1.16949149371525
"PFm","right",8,"FPN",0.00101602341365458,0.488134182002698
"PFop","left",6,"DAN",-0.000353843779155489,-0.17078854500644
"PFop","right",6,"DAN",0.000126163449906797,0.0609230367250103
"PFt","left",6,"DAN",-0.000457643359252929,-0.220575542229273
"PFt","right",6,"DAN",0.00142875263911123,0.688998912262351
"PGi","left",10,"DMN",-0.00417899947373586,-2.01739413421405
"PGi","right",10,"DMN",-0.00193183433875328,-0.932774311900581
"PGp","left",11,"MTL",0.00397808872411127,1.91970331791159
"PGp","right",11,"MTL",0.000297049638895887,0.1435098320794
"PGs","left",10,"DMN",0.00226632502315708,1.09067155096555
"PGs","right",10,"DMN",0.000280266003932791,0.135050647126697
"PH","left",1,"VIS",-0.00208677244202238,-1.00510258305286
"PH","right",1,"VIS",-0.0049564452499287,-2.38932936558983
"PHA1","left",11,"MTL",0.000845227352452938,0.40790646470691
"PHA1","right",11,"MTL",0.00166756032330304,0.804797490670446
"PHA2","left",11,"MTL",0.00173023170937597,0.833615642288153
"PHA2","right",11,"MTL",-0.00161550648175812,-0.779611897907217
"PHA3","left",11,"MTL",-0.00151351107809121,-0.731281107778323
"PHA3","right",11,"MTL",0.000756006530385617,0.364083388081038
"PHT","left",8,"FPN",0.00242335899026946,1.17098259048896
"PHT","right",8,"FPN",-0.000974201941326062,-0.470273779480795
"PI","left",9,"AUD",0.00185136196823549,0.892621189109749
"PI","right",9,"AUD",0.00208010523950073,1.00246086601919
"PIT","left",1,"VIS",0.00149212081371236,0.720285258224075
"PIT","right",1,"VIS",0.004949292328783,2.3906940225889
"POS1","left",10,"DMN",-0.00179801945125091,-0.867790899574109
"POS1","right",11,"MTL",0.000426426091988852,0.205930686439243
"POS2","left",11,"MTL",-0.000174768400690647,-0.0843462506133497
"POS2","right",11,"MTL",0.00208433488672269,1.00401264947755
"PSL","left",7,"LANG",0.000969135002802802,0.467540770083453
"PSL","right",3,"SAL",-0.000871995531649708,-0.420479744452047
"PeEc","left",11,"MTL",-0.000295375553746717,-0.142400916207342
"PeEc","right",11,"MTL",0.000298661466871586,0.144098051600232
"Pir","left",9,"AUD",-0.00169045411841538,-0.815686023128123
"Pir","right",9,"AUD",0.00566562203317153,2.73495161678471
"PoI1","left",9,"AUD",-0.00233879929935899,-1.12812707465628
"PoI1","right",9,"AUD",-0.000848944293137508,-0.409834851590453
"PoI2","left",9,"AUD",-0.00190010483620342,-0.917410935577942
"PoI2","right",9,"AUD",-0.00160625999459014,-0.773727008165696
"PreS","left",11,"MTL",0.00240440445957409,1.16033509869187
"PreS","right",11,"MTL",0.000240871446233666,0.116169969012123
"ProS","left",11,"MTL",0.00116747481000688,0.56262016482523
"ProS","right",11,"MTL",0.00124479124536929,0.600966446061906
"RI","left",9,"AUD",0.00149582200348694,0.72092918353781
"RI","right",9,"AUD",-0.000418434240380682,-0.201771336097363
"RSC","left",10,"DMN",0.00190942777984314,0.920330515359878
"RSC","right",10,"DMN",0.000540359485884294,0.260535643532436
"SCEF","left",3,"SAL",0.00359613664003418,1.73651603093614
"SCEF","right",3,"SAL",-5.36327310746429e-05,-0.0258864974426093
"SFL","left",7,"LANG",0.00034590617940797,0.166922855436069
"SFL","right",7,"LANG",0.002693075216541,1.30023500982396
"STGa","left",7,"LANG",0.00076237175661114,0.368002735113469
"STGa","right",7,"LANG",1.13332933774982e-06,0.000545595213854201
"STSda","left",7,"LANG",-0.00276751233010334,-1.33504717096704
"STSda","right",7,"LANG",0.00368470580690908,1.77909416958891
"STSdp","left",7,"LANG",0.00127963331731302,0.617959449751601
"STSdp","right",7,"LANG",-0.00218675195903202,-1.05471409357825
"STSva","left",10,"DMN",0.000992051581228532,0.4782487951621
"STSva","right",10,"DMN",-0.000260198285382405,-0.125559923438682
"STSvp","left",7,"LANG",-0.000327180234436443,-0.15738771044311
"STSvp","right",7,"LANG",0.000325703096056464,0.15728850679105
"STV","left",7,"LANG",0.0023139604809314,1.11659189134207
"STV","right",7,"LANG",7.76042967354066e-05,0.0374177738412059
"TA2","left",9,"AUD",0.00282104884398394,1.36078169302224
"TA2","right",9,"AUD",0.00202119289254487,0.976275180240736
"TE1a","left",10,"DMN",0.000981449691163521,0.472202226376847
"TE1a","right",10,"DMN",0.000988012784099345,0.477440044733859
"TE1m","left",10,"DMN",-0.00113003424586835,-0.545473475672405
"TE1m","right",10,"DMN",0.000784110838927355,0.378088826867219
"TE1p","left",8,"FPN",0.00299988355191691,1.4457811764226
"TE1p","right",8,"FPN",-0.00335978255708726,-1.62324900531437
"TE2a","left",10,"DMN",0.00421046944462016,2.03041371214029
"TE2a","right",10,"DMN",-0.000678921603221014,-0.327496084118895
"TE2p","left",8,"FPN",-0.00183352604118572,-0.883746421575516
"TE2p","right",6,"DAN",0.00309090965185697,1.49039468772801
"TF","left",7,"LANG",0.00105176168577613,0.507067976772597
"TF","right",11,"MTL",0.00113350173340209,0.546958665465096
"TGd","left",10,"DMN",0.00157703414398062,0.761211696640401
"TGd","right",10,"DMN",0.00173608389489473,0.836690991087228
"TGv","left",7,"LANG",0.0021751876525805,1.05065950924252
"TGv","right",7,"LANG",-0.00290024501680762,-1.39996716495651
"TPOJ1","left",7,"LANG",-0.000737303109572545,-0.355178638547026
"TPOJ1","right",7,"LANG",-0.00245992814923631,-1.18706880666325
"TPOJ2","left",7,"LANG",0.00112962876578843,0.544537762134813
"TPOJ2","right",6,"DAN",-0.00148696402836842,-0.71579323666885
"TPOJ3","left",11,"MTL",0.000433016088434603,0.208740339770145
"TPOJ3","right",11,"MTL",-0.00129841781953834,-0.626697862324078
"V1","left",1,"VIS",-0.000894403411773274,-0.431417159084267
"V1","right",1,"VIS",-0.00157696400801815,-0.76132479378324
"V2","left",1,"VIS",0.000187036622741075,0.0901997045886467
"V2","right",1,"VIS",0.00169056900260459,0.81604258752306
"V3","left",1,"VIS",0.000931684908625772,0.449772205738633
"V3","right",1,"VIS",0.0023171684400355,1.11740109449815
"V3A","left",1,"VIS",0.000954451418200747,0.460347047495805
"V3A","right",1,"VIS",-0.00190165622660724,-0.917187905921854
"V3B","left",1,"VIS",0.00176846808697421,0.853274686843958
"V3B","right",1,"VIS",-0.0016407878650696,-0.789121156518674
"V3CD","left",1,"VIS",0.000368428759380353,0.177799103094194
"V3CD","right",1,"VIS",0.000798668901769789,0.385400401738862
"V4","left",1,"VIS",-0.00157888829266844,-0.760290405916011
"V4","right",1,"VIS",0.00411267886597302,1.98699132748383
"V4t","left",1,"VIS",-2.89117707655804e-05,-0.0139614594809459
"V4t","right",1,"VIS",-0.000863486448674571,-0.416631447692344
"V6","left",1,"VIS",-0.00300113059129297,-1.44619750968811
"V6","right",1,"VIS",-0.000271173669574083,-0.130937666568904
"V6A","left",1,"VIS",-0.00487991608627931,-2.35389661225783
"V6A","right",1,"VIS",-0.00272192737464559,-1.31472421280059
"V7","left",1,"VIS",0.00150615616762797,0.72607896984884
"V7","right",1,"VIS",2.70417891607165e-05,0.0130416308615233
"V8","left",1,"VIS",0.00027468718822497,0.13228468810353
"V8","right",1,"VIS",0.00074416959636013,0.358569896007356
"VIP","left",1,"VIS",-8.59026545901516e-05,-0.0414124723503729
"VIP","right",1,"VIS",0.000146241321438341,0.0703702500953717
"VMV1","left",1,"VIS",-0.00287391672840315,-1.38562279516405
"VMV1","right",1,"VIS",0.00270835068666755,1.30270307662448
"VMV2","left",1,"VIS",-0.00311854979277626,-1.50220091085524
"VMV2","right",1,"VIS",0.00035058724267607,0.169153414569615
"VMV3","left",1,"VIS",-0.00224558748343524,-1.08546932370974
"VMV3","right",1,"VIS",-0.00338128114163572,-1.63214859965545
"VVC","left",1,"VIS",-0.00128197077038245,-0.618549013061388
"VVC","right",1,"VIS",-0.00370524043223437,-1.78634060706034
"a10p","left",10,"DMN",-0.00125334853209043,-0.604321288974183
"a10p","right",8,"FPN",0.00158572655888312,0.76516741697127
"a24","left",10,"DMN",0.00248679448784455,1.19973258231245
"a24","right",10,"DMN",0.00145267571783741,0.699833002081443
"a24pr","left",3,"SAL",1.68211648140627e-05,0.00811921790778571
"a24pr","right",3,"SAL",0.00283138668408223,1.36463680880073
"a32pr","left",3,"SAL",-0.00310819100292666,-1.5006492243912
"a32pr","right",3,"SAL",0.00143947963874531,0.69390480603583
"a47r","left",8,"FPN",-0.000387993453215837,-0.187142405842174
"a47r","right",8,"FPN",-1.18404099372673e-05,-0.00570895202828488
"a9-46v","left",8,"FPN",-0.000988678029023098,-0.477289394781448
"a9-46v","right",8,"FPN",0.00326347848431121,1.57098179395629
"d23ab","left",10,"DMN",0.00331928336762858,1.60074754452554
"d23ab","right",10,"DMN",-0.000863814998717066,-0.416467730484899
"d32","left",10,"DMN",0.00052476674704826,0.253313667684276
"d32","right",10,"DMN",-0.000183125045866266,-0.0883254767393498
"i6-8","left",8,"FPN",0.00325694383319493,1.57127329655666
"i6-8","right",8,"FPN",-0.000807645056548102,-0.38915059978824
"p10p","left",10,"DMN",0.00255206840494833,1.22981379792237
"p10p","right",10,"DMN",-0.000676680856454952,-0.326396717498597
"p24","left",3,"SAL",2.77113429537984e-05,0.0133730394133143
"p24","right",3,"SAL",0.00370015223966918,1.78433428096757
"p24pr","left",9,"AUD",0.00409908695472703,1.9796641984917
"p24pr","right",3,"SAL",-0.00150517269479341,-0.727183745912628
"p32","left",10,"DMN",0.00293983509796697,1.41315390084288
"p32","right",10,"DMN",0.0023044053321062,1.11106819883565
"p32pr","left",3,"SAL",-0.0010017677738125,-0.483954493000763
"p32pr","right",3,"SAL",0.000474506765489161,0.228474433454586
"p47r","left",8,"FPN",-0.00174903322487444,-0.843299776243016
"p47r","right",8,"FPN",-0.0012909630643354,-0.623487742526834
"p9-46v","left",8,"FPN",-0.000540997253167929,-0.260837340728501
"p9-46v","right",8,"FPN",-0.00143586144842789,-0.693369836785005
"pOFC","left",10,"DMN",-0.00169882244844337,-0.819431747663298
"pOFC","right",10,"DMN",-0.00143732591883076,-0.692399573146788
"s32","left",10,"DMN",0.00287940090360712,1.39075699161897
"s32","right",10,"DMN",-0.00060444851235445,-0.291853493520623
"s6-8","left",10,"DMN",-0.00417471309247177,-2.01433013835677
"s6-8","right",8,"FPN",-0.000126604642896514,-0.0609933159627902
"v23ab","left",10,"DMN",0.00369182370655301,1.77834878125991
"v23ab","right",10,"DMN",0.00158100778352552,0.762533123763563
NA,"left",NA,NA,NA,NA
NA,"right",NA,NA,NA,NA
